CODIGOPROGRAMAENSUGAR;NOMBRE DEL PROGRAMA;CODIGOPROGRAMAENSUGAR;ID DEL USUARIO QUE ATIENDE EL PROG EN EL CALL
fucs_list_programa_interes363;CURSO DE REANIMACIÓN PEDIÁTRICA Y NEONATAL PARA AUXILIARES - CÚCUTA;fucs_list_programa_interes363;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes356;CURSO DE SEGURIDAD DEL PACIENTE - CÚCUTA;fucs_list_programa_interes356;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes152;CURSO DE SOPORTE VITAL AVANZADO PEDIÁTRICO-PALS;fucs_list_programa_interes152;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes153;CURSO DESINFECCIÓN Y ESTERILIZACIÓN EN AREAS DE LA SALUD;fucs_list_programa_interes153;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes154;CURSO DESINFECCIÓN Y ESTERILIZACIÓN EN AREAS DE LA SALUD - CÚCUTA;fucs_list_programa_interes154;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes163;CURSO ENTRENAMIENTO BÁSICO DE MICROCIRUGÍA PARA RESIDENTES;fucs_list_programa_interes163;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes368;CURSO FARMACODEPENDENCIA;fucs_list_programa_interes368;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes365;CURSO FARMACOVIGILANCIA - CÚCUTA;fucs_list_programa_interes365;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes387;CURSO HEMOVIGILANCÍA CÚCUTA;fucs_list_programa_interes387;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes357;CURSO HUMANIZACIÓN DEL SERVICIO - CÚCUTA;fucs_list_programa_interes357;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes172;CURSO MEDICINA CRÍTICA Y DE URGENCIAS PARA AUXILIARES DE ENFERMERIA - CÚCUTA;fucs_list_programa_interes172;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes355;CURSO PARA LA MEDICIÓN INDIRECTA DE ALCOHOLEMIA A TRAVÉS DE AIRE ESPIRADO;fucs_list_programa_interes355;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes384;CURSO PRIMEROS AUXILIOS;fucs_list_programa_interes384;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes176;CURSO SEDACION BÁSICA;fucs_list_programa_interes176;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes374;CURSO TÉCNICA ASÉPTICA Y BIOSEGURIDAD DENTRO DEL ARTE DE TATUAR Y DE LA MODIFICACIÓN CORPORAL;fucs_list_programa_interes374;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes367;CURSO TECNOVIGILANCIA - CÚCUTA;fucs_list_programa_interes367;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes185;CURSO TOMA DE CITOLOGÍA A DISTANCIA;fucs_list_programa_interes185;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes380;CURSO TOMA DE MUESTRAS;fucs_list_programa_interes380;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes186;CURSO VIA AEREA EN PACIENTES CRITICOS PARA MÉDICOS NO ANESTESIOLOGOS - CÚCUTA;fucs_list_programa_interes186;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes378;CUSO TALLER FOTOGRAFÍA MÉDICA;fucs_list_programa_interes378;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes377;DIPLOMADO  EN EMBRIOLOGIA CLÍNICA Y REPRODUCTIVA;fucs_list_programa_interes377;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes187;DIPLOMADO ACTUALIZACIÓN EN CIENCIAS BÁSICAS, CLÍNICAS Y QUIRÚRGICAS PREPARACIÓN PARA EXAMEN DE SELECCIÓN PARA POSGRADOS DE MEDICINA CÚCUTA;fucs_list_programa_interes187;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes190;DIPLOMADO ATENCIÓN EN AREA QUIRÚRGICA;fucs_list_programa_interes190;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes192;DIPLOMADO AUXILIARES DE ENFERMERÍA EN CUIDADO INTEGRAL DEL PACIENTE RENAL;fucs_list_programa_interes192;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes195;DIPLOMADO CLÍNICO DE CIRUGÍA DERMATOLÓGICA;fucs_list_programa_interes195;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes201;DIPLOMADO CUIDADO INTENSIVO DEL ADULTO - CÚCUTA;fucs_list_programa_interes201;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes202;DIPLOMADO DE ACTUALIZACIÓN EN MEDICINA INTERNA Y OCOLOGIA PARA MÉDICOS FORENCES;fucs_list_programa_interes202;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes203;DIPLOMADO DE ATENCIÓN EN URGENCIAS;fucs_list_programa_interes203;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes208;DIPLOMADO DE MEDICINA CRÍTICA Y URGENCIAS - CÚCUTA;fucs_list_programa_interes208;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes213;DIPLOMADO EN AUDITORIA EN SALUD;fucs_list_programa_interes213;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes215;DIPLOMADO EN CENTRAL DE ESTERILIZACIÓN;fucs_list_programa_interes215;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes217;DIPLOMADO EN CIRUGÍA ENDOSCOPICA GINECOLÓGICA;fucs_list_programa_interes217;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes386;DIPLOMADO EN CIRUGÍA MÍNIMAMENTE INVASIVA;fucs_list_programa_interes386;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes219;DIPLOMADO EN COLPOSCOPIA Y PATOLOGÍA DEL TRACTO GENITAL INFERIOR;fucs_list_programa_interes219;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes371;DIPLOMADO EN CUIDADO CRÍTICO E INTEGRAL DEL NEONATO - CÚCUTA;fucs_list_programa_interes371;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes352;DIPLOMADO EN CUIDADO INTENSIVO NEONATAL;fucs_list_programa_interes352;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes353;DIPLOMADO EN CUIDADOS INTENSIVOS DEL ADULTO;fucs_list_programa_interes353;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes375;DIPLOMADO EN CUIDADOS PALIATIVOS EN SALUD INTEGRAL;fucs_list_programa_interes375;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes372;DIPLOMADO EN DOCENCIA UNIVERSITARIA;fucs_list_programa_interes372;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes228;DIPLOMADO EN ECOGRAFÍA OBSTETRICO GINECOLÓGICA;fucs_list_programa_interes228;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes232;DIPLOMADO EN EPIDEMIOLOGÍA CLÍNICA;fucs_list_programa_interes232;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes351;DIPLOMADO EN FARMACOTERAPÉUTICA;fucs_list_programa_interes351;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes385;DIPLOMADO EN FITOTERAPIA;fucs_list_programa_interes385;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes238;DIPLOMADO EN GERENCIA DE QUIROFANOS;fucs_list_programa_interes238;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes381;DIPLOMADO EN LACTANCIA MATERNA;fucs_list_programa_interes381;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes246;DIPLOMADO EN MEDICINA ANTIENVEJECIMIENTO Y LONGEVIDAD;fucs_list_programa_interes246;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes360;DIPLOMADO EN MEDICINA FUNCIONAL Y KINESIOLOGÍA APLICADA - CONVENIO;fucs_list_programa_interes360;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes260;DIPLOMADO EN TERAPIA ENTEROSTOMAL;fucs_list_programa_interes260;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes358;DIPLOMADO EN TRAUMA ÓSEO Y PATOLOGÍA OSTEOARTICULAR;fucs_list_programa_interes358;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes376;DIPLOMADO EPIDEMIOLÓGICA CLÍNICA CÚCUTA;fucs_list_programa_interes376;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes362;DIPLOMADO FARMACOLOGÍA CLÍNICA;fucs_list_programa_interes362;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes271;DIPLOMADO MEDICINA FUNCIONAL Y KINESIOLOGÍA APLICADA;fucs_list_programa_interes271;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes359;DIPLOMADO METODOLOGÍA DE LA INVESTIGACIÓN CUALITATIVA Y CUANTITATIVA Y CORRELACIÓN DESCRIPTIVA;fucs_list_programa_interes359;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes354;DIPLOMADO PREPARACIÓN PARA EXAMEN DE ADMISIÓN A POSGRADO EN MEDICINA - SEMIPRESENCIAL;fucs_list_programa_interes354;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes275;DIPLOMADO PREPARACIÓN PARA EXAMEN DE ADMISIÓN A POSGRADO EN MEDICINA SEMIPRESENCIAL - IBAGUÉ;fucs_list_programa_interes275;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes379;DIPLOMADO ROL DE LOS PROFESIONALES DE SALUD EN LA CONSTRUCCIÓN DE PAZ;fucs_list_programa_interes379;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes278;DIPLOMADO VIRTUAL EN CENTRALES DE ESTERILIZACIÓN;fucs_list_programa_interes278;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes366;DIPLOMADO VIRTUAL EN DOCENCIA UNIVERSITARIA;fucs_list_programa_interes366;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes281;DIPLOMADO VIRTUAL EN PREPARACIÓN DE EXAMEN A POSGRADO;fucs_list_programa_interes281;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes383;DIPLOMADO: VÍNCULO EMOCIONAL Y AUMENTO DE LA ADHERENCIA AL TRATAMIENTO EN PSICOTERAPIA;fucs_list_programa_interes383;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes370;DIPOMADO VISITADOR  MEDICO PROFESIONAL DEL SIGLO XXI;fucs_list_programa_interes370;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes289;GINECOLOGIA UROLÓGICA Y CIRUGÍA PISO PÉLVICO;fucs_list_programa_interes289;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes306;PALS CÚCUTA;fucs_list_programa_interes306;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes390;PSS DIPLOMADO - PRODUCTIVIDAD EN EL SECTOR SALUD;fucs_list_programa_interes390;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes314;REJUVENECIMIENTO VAGINAL CON LÁSER;fucs_list_programa_interes314;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes361;SEMINARIO DE INVESTIGACIÓN EN ENFERMERÍA-MARÍA TERESA PERDOMO DE PIÑEROS;fucs_list_programa_interes361;c5726ab6-10d4-476c-a705-56dedbe04c68
fucs_list_programa_interes388;SEMINARIO EL ARTE DE COMUNICARNOS EFECTIVAMENTE APLICANDO PNL;fucs_list_programa_interes388;c5726ab6-10d4-476c-a705-56dedbe04c68
