fucs_list_programa_interes475;ESPECIALIZACIÓN EN GENÉTICA MÉDICA
fucs_list_programa_interes31;ESPECIALIZACIÓN EN GERENCIA DE LA SALUD
fucs_list_programa_interes343;ESPECIALIZACIÓN EN GERENCIA DE LA SALUD (VIRTUAL)
fucs_list_programa_interes474;ESPECIALIZACIÓN EN GERENCIA DE ORGANIZACIONES DE SALUD
fucs_list_programa_interes496;ESPECIALIZACIÓN EN GERIATRÍA
fucs_list_programa_interes30;ESPECIALIZACIÓN EN GINECOLOGÍA ONCOLÓGICA
fucs_list_programa_interes29;ESPECIALIZACIÓN EN GINECOLOGÍA Y OBSTETRICIA
fucs_list_programa_interes28;ESPECIALIZACIÓN EN HEMATOLOGÍA
fucs_list_programa_interes72;ESPECIALIZACIÓN EN HEMODINAMIA Y CARDIOLOGÍA INTERVENCIONISTA
fucs_list_programa_interes27;ESPECIALIZACIÓN EN MASTOLOGIA
fucs_list_programa_interes344;ESPECIALIZACIÓN EN MEDICINA CRÍTICA Y CUIDADO INTENSIVO
fucs_list_programa_interes26;ESPECIALIZACIÓN EN MEDICINA CRÍTICA Y CUIDADO INTENSIVO (SUB ESPECIALIZACIÓN)
fucs_list_programa_interes25;ESPECIALIZACIÓN EN MEDICINA DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE
fucs_list_programa_interes24;ESPECIALIZACIÓN EN MEDICINA DE URGENCIAS
fucs_list_programa_interes23;ESPECIALIZACIÓN EN MEDICINA DEL DOLOR Y CUIDADOS PALIATIVOS
fucs_list_programa_interes22;ESPECIALIZACIÓN EN MEDICINA FAMILIAR
fucs_list_programa_interes71;ESPECIALIZACIÓN EN MEDICINA INTERNA
fucs_list_programa_interes21;ESPECIALIZACIÓN EN MEDICINA MATERNO FETAL
fucs_list_programa_interes74;ESPECIALIZACIÓN EN MEDICINA NUCLEAR
fucs_list_programa_interes20;ESPECIALIZACIÓN EN NEFROLOGÍA
fucs_list_programa_interes18;ESPECIALIZACIÓN EN NEONATOLOGÍA
fucs_list_programa_interes17;ESPECIALIZACIÓN EN NEUROCIRUGÍA
fucs_list_programa_interes16;ESPECIALIZACIÓN EN NEUROLOGÍA
fucs_list_programa_interes15;ESPECIALIZACIÓN EN OFTALMOLOGÍA
fucs_list_programa_interes70;ESPECIALIZACIÓN EN ORTOPEDIA Y TRAUMATOLOGÍA
fucs_list_programa_interes14;ESPECIALIZACIÓN EN ORTOPEDIA Y TRAUMATOLOGÍA PEDIÁTRICA
fucs_list_programa_interes13;ESPECIALIZACIÓN EN OTOLOGÍA Y OTOREUNOLOGÍA
fucs_list_programa_interes12;ESPECIALIZACIÓN EN OTORRINOLARINGOLOGÍA
fucs_list_programa_interes11;ESPECIALIZACIÓN EN OTORRINOLARINGOLOGÍA Y CIRUGÍA DE LA CABEZA
fucs_list_programa_interes10;ESPECIALIZACIÓN EN PATOLOGÍA
fucs_list_programa_interes69;ESPECIALIZACIÓN EN PEDIATRÍA
fucs_list_programa_interes485;ESPECIALIZACIÓN EN PERFUSIÓN Y CIRCULACIÓN EXTRACORPÓREA
fucs_list_programa_interes472;ESPECIALIZACIÓN EN PSICOONCOLOGÍA
fucs_list_programa_interes9;ESPECIALIZACIÓN EN RADIOLOGÍA E IMÁGENES DIAGNOSTICAS
fucs_list_programa_interes346;ESPECIALIZACIÓN EN REUMATOLOGÍA
fucs_list_programa_interes8;ESPECIALIZACIÓN EN TOXICOLOGÍA CLÍNICA
fucs_list_programa_interes68;ESPECIALIZACIÓN EN UROLOGÍA
fucs_list_programa_interes396;ESPECIALIZACIÓN GERENCIA EN MERCADEO DE SERVICIOS DE SALUD (VIRTUAL)
fucs_list_programa_interes398;GERENCIA DE LA CALIDAD Y GESTIÓN CLÍNICA
fucs_list_programa_interes392;MAESTRÍA EN BIOINGENIERÍA Y NANOTECNOLOGÍA
fucs_list_programa_interes395;MAESTRÍA EN EDUCACIÓN Y DESARROLLO SOCIAL
fucs_list_programa_interes393;MAESTRÍA EN EPIDEMIOLOGÍA CLÍNICA
fucs_list_programa_interes397;MAESTRÍA EN FARMACOLOGÍA CLÍNICA
